Date,Open,High,Low,Close,Volume,Adj. Close
19-10-2017,5324.07,5735,5320.12,5640.04,12665.0397,5640.04
20-10-2017,5645.79,6000.1,5589.8,5964.24,11625.46868,5964.24
21-10-2017,5964.24,6180,5886.6,6156.13,14920.41863,6156.13
22-10-2017,6142.61,6165,5700,6009.99,15900.40864,6009.99
23-10-2017,6009.99,6045.34,5617.75,5790,12906.50302,5790
24-10-2017,5790,6000,5534.32,5654.99,17158.28074,5654.99
25-10-2017,5649.99,5740,5366,5482.4,14217.9115,5482.4
26-10-2017,5482.43,5988,5470,5940.25,11245.43098,5940.25
27-10-2017,5944.5,5994.06,5674.06,5744.73,13023.55944,5744.73
28-10-2017,5744.73,5875.66,5646.18,5699.99,7873.168239,5699.99
29-10-2017,5698.11,6031.51,5683,5986.27,8256.45797,5986.27
30-10-2017,5980.12,6316.85,5934.56,6081.09,16272.01663,6081.09
31-10-2017,6088.76,6420,6047.08,6370.67,12100.07345,6370.67
1/11/2017,6370.68,6591,6280.99,6564.56,10768.2243,6564.56
2/11/2017,6560.54,7354.1,6524.45,7075,26548.59695,7075
3/11/2017,7075,7500,6822,7343.86,16985.7433,7343.86
4/11/2017,7343.99,7350.36,6994,7334.78,10612.93622,7334.78
5/11/2017,7344.99,7590,7275.16,7512,8519.759383,7512
6/11/2017,7512.1,7570.56,7073.95,7270.1,13644.27969,7270.1
7/11/2017,7267.02,7280.66,6922.07,7051,17981.88891,7051
8/11/2017,7051.01,7549.7,6956.88,7493.79,12613.17817,7493.79
9/11/2017,7493.86,7888,7061.2,7174,26545.81909,7174
10/11/2017,7171.69,7343.18,6718.49,6849.9,17115.02811,6849.9
11/11/2017,6849.49,6945.7,6300,6398.35,22698.11268,6398.35
12/11/2017,6388.67,6520.54,5555.55,6255.78,33360.66637,6255.78
13-11-2017,6255,6775.75,5645,6717.19,27836.1729,6717.19
14-11-2017,6701.05,6750,6310,6575.84,16211.67293,6575.84
15-11-2017,6563.13,7275.16,6511.08,7260.11,15976.35641,7260.11
16-11-2017,7261.73,7538,7089,7462.16,15129.142,7462.16
17-11-2017,7462,7997,7425.16,7964.96,22461.75086,7964.96
18-11-2017,7964.94,7993.93,7431.54,7679.38,10173.54116,7679.38
19-11-2017,7679.23,7858,7633.65,7738.7,5616.859073,7738.7
20-11-2017,7738.68,8226,7733.01,8207.2,10176.1509,8207.2
21-11-2017,8200.57,8354.46,7770,8338.98,11742.33659,8338.98
22-11-2017,8337.2,8345,7935,8224.99,9518.855954,8224.99
23-11-2017,8224.89,8284,8058.69,8163.44,8329.794843,8163.44
24-11-2017,8164.44,8340,7876,8183.96,9921.403966,8183.96
25-11-2017,8183.96,8649.98,8114.78,8592,11615.88376,8592
26-11-2017,8591.99,9055.51,8538.2,9044,7486.643417,9044
27-11-2017,9044,9721.7,8971.11,9649.99,16578.30639,9649.99
28-11-2017,9649.99,9915,9458,9899,10356.92262,9899
29-11-2017,9899,11395,9848,10819.12,22537.65622,10819.12
30-11-2017,10819.12,11000,9000,9249.99,32550.0372,9249.99
1/12/2017,9247.17,10744,9110,10557.78,19810.47684,10557.78
2/12/2017,10557.78,11200,10410,10736.81,12137.38842,10736.81
3/12/2017,10749.1,11800.01,10686.02,11744.22,7933.460287,11744.22
4/12/2017,11718.8,11799.99,10513.16,11342.56,17458.84036,11342.56
5/12/2017,11342.56,11850,11100,11801.1,13076.36431,11801.1
6/12/2017,11806.97,12815.18,11560,12543.85,15445.01577,12543.85
7/12/2017,12520.07,15700,12400,15695,23905.41726,15695
8/12/2017,15698.49,16666.66,13482.42,15298,30220.22622,15298
9/12/2017,15304.51,15998.5,14418,14547.85,12074.46444,14547.85
10/12/2017,14538.97,15192.32,12701.05,15014.72,21618.82991,15014.72
11/12/2017,15005.03,16570,14029.86,16296.76,16247.86079,16296.76
12/12/2017,16296.77,17270,15967.29,17055,14356.80631,17055
13-12-2017,17055,17428.42,16200,16705.01,15672.4309,16705.01
14-12-2017,16705.01,16830.45,15497.69,16307.77,15699.8325,16307.77
15-12-2017,16307.77,17934,16072.73,17499.9,18915.54636,17499.9
16-12-2017,17497.4,18800,17111,18799.99,10238.37509,18799.99
17-12-2017,18788.98,19666,18503.37,19234.56,9307.254986,19234.56
18-12-2017,19246.05,19310.67,17835.2,18835.41,15058.149,18835.41
19-12-2017,18845.41,19160.79,17500,18062.2,16559.93716,18062.2
20-12-2017,18059,18444,15800,16588.37,30288.34422,16588.37
21-12-2017,16588.36,17281.17,15317,15550,22688.37342,15550
22-12-2017,15550,15855,11159.93,13340,51126.97812,13340
23-12-2017,13340,15756.22,12305.47,14878.87,30036.15626,14878.87
24-12-2017,14876.86,15599.64,12488,13388.99,20188.73809,13388.99
25-12-2017,13383.01,14650,12622,13805,12988.49937,13805
26-12-2017,13805,15914.38,13555.01,15763.03,13313.70853,15763.03
27-12-2017,15770,16480.52,15066.29,15296,14313.69585,15296
28-12-2017,15295.98,15483.22,13500,14260.72,18007.9534,14260.72
29-12-2017,14258.6,15111,13523.03,14533.11,14133.36733,14533.11
30-12-2017,14533.11,14869.1,12244.19,12695.24,20664.84815,12695.24
31-12-2017,12673.81,13462.82,12050,13301.75,12948.06597,13301.75
1/1/2018,13351.01,14296.06,12801.38,13276.78,9268.96169,13276.78
2/1/2018,13276,14073.74,12910.58,13714.88,10700.18668,13714.88
3/1/2018,13714.82,15500,13645.29,15133.59,15519.88621,15133.59
4/1/2018,15126.29,15430.27,14192.37,14551.29,13836.32511,14551.29
5/1/2018,14551.36,16189,14401.74,15969.11,15069.07392,15969.11
6/1/2018,15981.21,17200,15981.21,16592.53,13874.52509,16592.53
7/1/2018,16592.53,17234.99,16311,16443,7060.552664,16443
8/1/2018,16427.63,16521.66,13900,14500,16530.28304,14500
9/1/2018,14500,15367.18,14123.97,14700,13566.06742,14700
10/1/2018,14690,14988.72,13412,14406.94,18316.18877,14406.94
11/1/2018,14406.94,14973.07,12800,13969,19359.26241,13969
12/1/2018,13969,14161.75,12807.27,13698.54,14680.52057,13698.54
13-01-2018,13698.45,14619.1,13395.76,14266.13,9336.08515,14266.13
14-01-2018,14266.13,14400,13072.22,13229.05,7375.024057,13229.05
15-01-2018,13222.98,14394.36,13072.23,14098,8100.502025,14098
16-01-2018,14098,14185.25,11191.59,12313.29,25973.45523,12313.29
17-01-2018,12313.29,12409.22,9222,9557.62,42606.77535,9557.62
18-01-2018,9538.55,12146,9526.11,12070,29571.11636,12070
19-01-2018,12074.85,12074.85,11054.84,11559.26,16488.9055,11559.26
20-01-2018,11559.26,12823.03,11025.18,12569.4,11852.16266,12569.4
21-01-2018,12539.76,13052.12,11589.73,11589.73,10172.53824,11589.73
22-01-2018,11589.73,11910.78,10330.01,10481.08,14476.27716,10481.08
23-01-2018,10481.08,10994.56,9927.54,10774.61,18537.22568,10774.61
24-01-2018,10765,11500,10488.13,11069.93,13797.9717,11069.93
25-01-2018,11072,11741.82,10890,10952.06,11179.05855,10952.06
26-01-2018,10962.05,11635,10263.32,11043.08,14593.23566,11043.08
27-01-2018,11049.98,11525,10780.18,11500.01,9411.427625,11500.01
28-01-2018,11500.99,11989.15,11332.29,11583.63,11400.42002,11583.63
29-01-2018,11583.63,11820.01,11037.77,11288.74,9857.536152,11288.74
30-01-2018,11288.75,11305,10178.54,10292.23,13345.66089,10292.23
31-01-2018,10270.72,10451.4,9514.96,9945.92,19600.79952,9945.92
1/2/2018,9962.79,10187.56,9022.46,9216.99,17000.22789,9216.99
2/2/2018,9216.99,9234.1,7625.25,8973.35,48545.8146,8973.35
3/2/2018,9000.77,9443.96,8170.71,9208.11,20739.31011,9208.11
4/2/2018,9207.54,9491.2,8294.04,8372.37,13535.97783,8372.37
5/2/2018,8374.07,8560,7141,7326.59,32890.35872,7326.59
6/2/2018,7349.9,7486.98,5920.72,7308.01,72049.17403,7308.01
7/2/2018,7329.31,8649,6800,8198,44776.19837,8198
8/2/2018,8217.33,8644.36,7543.27,8216.18,23857.84367,8216.18
9/2/2018,8207.73,8489.98,7753.32,8331.82,21124.1016,8331.82
10/2/2018,8331.8,9090.8,8296.31,8373.9,16881.46528,8373.9
11/2/2018,8359,8589.1,7820,8414.26,13262.57641,8414.26
12/2/2018,8425,8850,8026,8655.79,13767.45661,8655.79
13-02-2018,8666.5,8995,8360.13,8503.18,13724.04057,8503.18
